"Designator","Footprint","Pad X","Pad Y","Mid X","Mid Y","Layer","Rotation","Comment","Value"
"R9","SM0805","57.45","43.81","57.45","43.81","Top","90.00","R 0.1W SMTF 2.7K",""
"R10","SM0805","30.80","69.38","30.80","69.38","Top","90.00","R 0.1W SMTF 47",""
"R11","SM0805","30.80","71.88","30.80","71.88","Top","90.00","R 0.1W SMTF 47",""
"R12","SM0805","30.80","76.88","30.80","76.88","Top","90.00","R 0.1W SMTF 47",""
"R13","SM0805","30.80","74.42","30.80","74.42","Top","90.00","R 0.1W SMTF 47",""
"C15","C0805","31.05","65.75","31.05","65.75","Top","180.00","08055C103KATDA",""
"C19","C0805","30.68","79.88","30.68","79.88","Top","180.00","08055C103KATDA",""
"R14","SM0805","8.03","60.38","8.03","60.38","Top","90.00","R 0.1W SMTF 1.0K",""
"R15","SM0805","14.98","60.43","14.98","60.43","Top","90.00","R 0.1W SMTF 1.0K",""
"C21","SM0805","38.98","62.98","38.98","62.98","Top","270.00","08051A220JATDA",""
"C20","SM0805","39.00","59.71","39.00","59.71","Top","270.00","08051A220JATDA",""
"FL1","BLM21BB050SH1D_250_100Mhz_0805","35.78","78.98","35.78","78.98","Top","270.00","BLM21BB050SH1D_250_100Mhz_0805","BLM21BD102SN1D"
"Y3","ABM3B","42.13","26.37","42.13","26.37","Top","180.00","ABM3B-8.000MHZ-10-1-U-T","ABM3B-8.000MHZ-10-1-U-T"
"C22","C0805","42.68","29.38","42.68","29.38","Top","180.00","08055C222KATDA",""
"C23","C0805","42.18","22.48","42.18","22.48","Top","0.00","08055C222KATDA",""
"C24","C0805","39.30","34.88","39.30","34.88","Top","180.00","08055C103KATDA",""
"C25","C0805","39.30","37.08","39.30","37.08","Top","180.00","08055C104KATDA",""
"D4","DIONM5436X244N","14.60","32.88","14.60","32.88","Top","270.00","SMBJ6.5CA-Q","SMBJ6.5CA-Q"
"R16","SM0805","42.68","35.16","42.68","35.16","Top","180.00","R 0.1W SMTF 1.0K",""
"PRGM","5","44.70","13.50","44.70","13.50","Top","90.00","CONN_SIL_5",""
"F1","RKEF075","10.33","34.90","10.33","34.90","Top","270.00","RKEF075","RKEF075"
"R17","SM0805","19.08","7.88","19.08","7.88","Top","180.00","R 0.1W SMTF 1.0K",""
"R18","SM0805","32.98","8.18","32.98","8.18","Top","180.00","R 0.1W SMTF 1.0K",""
"5V","LEDT175","23.08","4.64","23.08","4.64","Top","180.00","LED","5SYD"
"3V","LEDT175","29.08","4.64","29.08","4.64","Top","180.00","LED",""
"TP24V","1","7.45","52.96","7.45","52.96","Top","0.00","1WP",""
"TP5v","1","32.08","44.16","32.08","44.16","Top","0.00","1WP",""
"Y1","ABM3B","44.25","61.03","44.25","61.03","Top","270.00","ABM3B-25.000MHZ-10-1-U-T","ABM3B-25.000MHZ-10-1-U-T"
"C26","CAPAE1030X1270N","20.35","21.73","20.35","21.73","Top","0.00","50SVPF68M","50SVPF68M"
"C27","C0805","17.73","41.78","17.73","41.78","Top","90.00","08055C104KATDA",""
"D5","DIONM5336X245N","14.60","40.18","14.60","40.18","Top","270.00","SMBJ36CA","SMBJ36CA"
---------------------------------------------------------------------------------------------
