Bill Of Materials
"Report Written:","Tuesday, January 05, 2021"
"Design Path:","C:\Users\GIT\RGB_Industrial_Display_PCB\RGB_Industrial_Display_PCB.prj"
"Design Title:",""
"Created:",""
"Last Saved:",""
"Editing Time:","2996 min"
"Units:","thou (precision 0)"

"Component","Value","Package","RS Part Number","Qty","RS Price","In Stock","Ref Name","Description","Mfr. Part No."
"LFXTAL055474REEL",,"LFXTAL055474REEL",171-0305,1,4.200,2030,"Y2","Crystal 25MHz +/-50ppm (Tol) +/-50ppm (Stability) 16pF FUND 50Ohm 4-Pin CSMD T/R","LFXTAL055474REEL"
"LM1117IMPX3.3_NOPB",,"SOT230P700X180-4N",823-4434,1,0.568,170,"IC2","Space Saving 800mA Low-Dropout Linear Regulator with Internal Current Limit 4-SOT-223 -40 to 125","LM1117IMPX3.3/NOPB"
"PIC32MX170F256B-50I_SO",,"SOIC127P1030X265-28N","9163762P",1,2.930,32,"IC3","Microchip PIC32MX170F256B-50I/SO, 32bit Microcontroller, 50MHz, 256 + 3 kB Flash, 28-Pin SOIC","PIC32MX170F256B-50I/SO"
"R 0.1W SMTF 1.0K",,"SM0805",804-6449,5,49.250,30000,"R14-18","Thick Film Surface Mount Resistor",
"R 0.1W SMTF 2.7K",,"SM0805",566-484,1,0.092,785,"R9","Thick Film Surface Mount Resistor",
"R 0.1W SMTF 3.3K",,"SM0805",866-7424,1,0.210,1320,"R2","Thick Film Surface Mount Resistor",
"R 0.1W SMTF 10K",,"SM0805",740-9224,1,0.052,1710,"R1","Thick Film Surface Mount Resistor",
"R 0.1W SMTF 10K",,"SM0805",741-9224,3,0.954,95,"R3-5","Thick Film Surface Mount Resistor",
"R 0.1W SMTF 47",,"SM0805",828-0702,4,1.864,810,"R10-13","Thick Film Surface Mount Resistor",
"R 0.1W SMTF 100",,"SM0805",866-7279,3,0.630,820,"R6-8","Thick Film Surface Mount Resistor",
"RKEF075",,"RKEF075",712-7480,1,0.282,10,"F1","Littelfuse 0.75A Radial Leaded PCB Mount Resettable Fuse, 60V","RKEF075"
"RLF12560T-100M7R5-PF",,"INDPM125128X600N",741-3267,1,1.240,38,"L1","TDK RLF12560 Series Shielded Wire-wound SMD Inductor 10 uH +/-20% 7.8A Idc","RLF12560T-100M7R5-PF"
"SBRD10200TR",,"SMC_DPAK",180-7316,1,2.102,2910,"D1","SCHOTTKY RECTIFIER","SBRD10200TR"
"SMBJ6.5CA-Q",,"DIONM5436X244N",699-8085,1,0.232,240,"D4","SMBJ-Q Transient Voltage Suppressor Diode Series, Bi-Directional","SMBJ6.5CA-Q"
"SMBJ30CA",,"SMBJ36CATR",764-5619,1,0.226,1450,"D2","TVS Diode Bi-Directional SMBJ30CA 64.3V, 600W, SMB 2-Pin","SMBJ30CA"
"TCJA106M016R0200",,"CAPPM3216X180N",144-1494,2,629.360,4000,"C13, C18","AVX Electrolytic Capacitor 10F 16V dc Polymer Solid +/-20% Tolerance TCJ Series","TCJA106M016R0200"
"TCJA106M016R0200",,"CAPPM3216X180N",144-2523,1,0.498,460,"C6","AVX Electrolytic Capacitor 10F 16V dc Polymer Solid +/-20% Tolerance TCJ Series","TCJA106M016R0200"
"TL1105CF160Q",,"TL1105CF160Q",479-1413,1,0.070,5680,"S1","Tactile Switches 6X6X8MM 160GF","TL1105CF160Q"
"TPS5450DDAR",,"SOIC127P600X170-9N","8256848P",1,1.745,0,"IC1","Texas Instruments, TPS5450DDAR Step-Down Switching Regulator 5A Adjustable, 1.22  31 V, 8-Pin SOIC","TPS5450DDAR"
"Totals",,,,63,720.121,,,,
